Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000045_(3).jpg,6.4304,16,10,1024x683,699392
00000045_(4).jpg,4876.3738,16,10,640x427,273280
00000045_(5).jpg,6081.3127,16,10,1600x1000,1600000
00000045_(6).jpg,1.7198,16,10,500x333,166500
00000046.jpg,10.2771,16,10,1024x1024,1048576
00000046_(2).jpg,16.0927,16,10,1600x1071,1713600
00000046_(3).jpg,6.9745,16,10,1024x683,699392
00000046_(4).jpg,2.3508,16,10,640x427,273280
00000046_(5).jpg,15.5024,16,10,1600x1063,1700800
00000046_(6).jpg,7.4446,16,10,1024x768,786432
00000046_(7).jpg,6.7519,16,10,1024x681,697344
00000047.jpg,3.7302,16,10,640x640,409600
00000047_(2).jpg,10.5415,16,10,1599x691,1104909
00000047_(3).jpg,9.2038,16,10,1024x1024,1048576
00000047_(4).jpg,5.2018,16,10,1024x526,538624
00000047_(5).jpg,5.7841,16,10,800x800,640000
00000047_(6).jpg,3.2076,16,10,640x512,327680
00000047_(7).jpg,11.2797,16,10,1024x651,666624
00000048.jpg,5.8189,16,10,800x800,640000
00000048_(2).jpg,12.7240,16,10,1600x839,1342400
00000048_(3).jpg,6.1497,16,10,1024x683,699392
00000048_(4).jpg,6.8748,16,10,1023x681,696663
00000048_(5).jpg,6.8584,16,10,1024x781,799744
00000048_(6).jpg,6.0671,16,10,1024x681,697344
00000049.jpg,44053.0002,16,10,1600x1065,1704000
00000049_(2).jpg,18.5193,16,10,1600x1066,1705600
00000049_(3).jpg,5.6452,16,10,1024x587,601088
00000049_(4).jpg,4.1448,16,10,533x800,426400
00000049_(5).jpg,6.2586,16,10,623x797,496531
00000049_(6).jpg,7.7495,16,10,1024x704,720896
00000050.jpg,7.1472,16,10,800x800,640000
00000050_(2).jpg,19.7378,16,10,1599x1070,1710930
00000050_(3).jpg,15.9639,16,10,1600x900,1440000
00000050_(4).jpg,7.1018,16,10,1024x683,699392
00000050_(5).jpg,8.1186,16,10,1024x768,786432
00000050_(6).jpg,7.0365,16,10,1024x680,696320
00000051.jpg,7.0833,16,10,800x800,640000
00000051_(2).jpg,15.6888,16,10,1599x945,1511055
00000051_(3).jpg,7.6124,16,10,1024x696,712704
00000051_(4).jpg,6.8597,16,10,800x800,640000
00000051_(5).jpg,16.1666,16,10,1599x1001,1600599
00000051_(6).jpg,2.8766,16,10,640x427,273280
